code,fullname,shorthand,results17,results18,id17,id18,fall
houston,**University of Houston (TX),Cougar Classic,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=8994&result_id=56297,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=10701&result_id=81982,8994,10701,n
asu,*Arizona State University (AZ),Arizona State HDSHC,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=7003&result_id=55287,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=10037&result_id=81448,7003,10037,n
ups,**University of Puget Sound (WA),Puget Sound,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=73084&tourn_id=8697,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=98038&tourn_id=11652,8697,11652,n
churchill,*Winston Churchill (TX),Winston Churchill,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=9158&result_id=54998,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=12159&result_id=81987,9158,12159,n
peninsula,**Peninsula (CA),Peninsula,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=70228&tourn_id=7547,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=81809&tourn_id=9578,7547,9578,n
hwestlake,****Harvard-Westlake (CA),Harvard-Westlake,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=72609&tourn_id=8649,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=11584&result_id=83655,8649,11584,n
durham,**Durham Academy (NC),Cavalier,--,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=85342&tourn_id=10081,Error,10081,n
lex,***Lexington (MA),Big Lex,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=8838&result_id=56183,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=11552&result_id=83081,8838,11552,n
ward,*Lewis & Clark (OR),Jean Ward,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=9013&result_id=56953,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=11696&result_id=83453,9013,11696,n
emory,****Emory (GA),Barkley Forum,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=65383&tourn_id=7663,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=89193&tourn_id=10796,7663,10796,n
columbia,*Columbia (NY),Columbia,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=9079&result_id=56772,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=11622&result_id=84575,9079,11622,n
colleyville,*Colleyville Heritage (TX),Colleyville,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=9473&result_id=58581,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=11616&result_id=85768,9473,11616,n
goldendesert,**Golden Desert (NV),Golden Desert,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=74863&tourn_id=8881,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=96937&tourn_id=11447,8881,11447,n
bethelpark,*Bethel Park (PA),Bethel Park,https://www.tabroom.com/index/tourn/results/ranked_list.mhtml?event_id=77325&tourn_id=9154,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=11529&result_id=86763,9154,11529,n
penn,*University of Pennsylvania (PA),Liberty Bell Classic,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=7723&result_id=60017,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=11722&result_id=87059,7723,11722,n
stanford,***Stanford (CA),Stanford,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=8879&result_id=60134,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=11877&result_id=87206,8879,11877,n
harvard,****Harvard (MA),Harvard,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=76427&tourn_id=9051,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=88024&tourn_id=10663,9051,10663,n
cal,****Berkeley (CA),Cal Invitational,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=70747&tourn_id=8476,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=10274&result_id=88419,8476,10274,n
milo,*Millard North (NE),Milo Cup,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=7733&result_id=60881,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=88970&tourn_id=10763,7733,10763,n
marlborough,"**Marlborough, Formerly USC (CA)",Marlborough (Formerly USC),https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=82070&tourn_id=9609,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=107318&tourn_id=12350,9609,12350,n
