School Name,Entries
Talley (AZ),0
Texas Academy of Math and Science (TX),0
Thomas Jefferson (VA),0
Thompkins (TX),0
Timber Creek (FL),0
Timber Creek (TX),0
Timothy Christian (NJ),0
Tom C Clark (TX),0
Tompkins (TX),0
Torrey Pines (CA),0
Travis (TX),0
Trinity (KY),0
Trinity Prep (FL),0
Trinity Valley (TX),0
Troy (CA),0
Truman (PA),0
Tuloso Midway (TX),0
Tulsa Washington (OK),0
Turlock (CA),0
Union (OK),0
Unionville (PA),0
University (FL),0
University (NJ),0
University High (CA),0
University School (OH),0
University of Texas (TX),0
Upper Arlington (OH),0
Upper Dublin (PA),0
Urbana (IL),0
VA Independent (CA),0
Valdosta (GA),0
Valencia (CA),0
Valley (IA),0
Valley International (CA),0
Valor Christian (CO),0
Vashon (WA),0
Ventura (CA),0
Veritas Prep (AZ),0
Vestavia Hills (AL),0
Village (TX),0
Vincentian (PA),0
Walla Walla (WA),0
Walnut (CA),0
Walt Whitman (MD),0
Walton (GA),0
Warren (TX),0
Washington (SD),0
Waukesha South (WI),0
Wenatchee (WA),0
West (UT),0
West Broward (FL),0
West Career and Technical Academy (NV),0
West Linn (OR),0
West Ranch (CA),0
Westford (MA),0
Westlake (CA),0
Westlake (TX),0
Westridge (CA),0
Westside (TX),0
Westview (OR),0
Westwood (TX),0
Whatcom Independent (WA),0
Whitefish Bay (WI),0
Whitney (CA),0
Wichita East (KS),0
William Chrisman (MO),0
Wilson (DC),0
Wimberly (TX),0
Windward (CA),0
Winston Churchill (TX),0
Winter Park (FL),0
Winter Springs (FL),0
Woodlands (TX),0
Woodlands College Park (TX),0
Wren (SC),0
Wylie (TX),0
Xeno Debate Academy (NJ),0
Yorba Linda (CA),0
Yucca Valley (CA),0
Zionsville (IN),0
